┼进制	十进制
鼓午鼓午	鼓舞鼓舞
鼓舞欢忻	鼓舞欢欣
鼓躁	鼓噪
鼓躁而进	鼓噪而进
穀父蚕母	谷父蚕母
穀贱伤农	谷贱伤农
穀马砺兵	谷马砺兵
固步自封	故步自封
固持己见	固执己见
固定脂	固定值
固疾	痼疾
固态复萌	故态复萌
固习	痼习
固执已见	固执己见
故技	故伎
故技重演	故伎重演
故名思义	顾名思义
故弄弦虚	故弄玄虚
故影自怜	顾影自怜
故作矜恃	故作矜持
故作恣态	故作姿态
故做高深	故作高深
故做神秘	故作神秘
顾後瞻前	顾后瞻前
顾名思议	顾名思义
顾名思意	顾名思义
顾意	故意
雇用军	雇佣军
锢疾	痼疾
瓜瓜声	呱呱声
瓜田不纳履李下不整冠	瓜田不纳履，李下不整冠
刮搭板儿	呱嗒板儿
刮刮叫	呱呱叫
刮噪	聒噪
刮噪不休	聒噪不休
颳起来	刮起来
呱哒	呱嗒
呱呱堕地	呱呱坠地
寡廉鲜止	寡廉鲜耻
挂帐	挂账
罣误	诖误
乖脣蜜舌	乖唇蜜舌
拐弯末角	拐弯抹角
拐仗	拐杖
怪癖任性	怪僻任性
关不料	关不了
关仃并转	关停并转
关东出相关西出将	关东出相，关西出将
关怀倍至	关怀备至
关健	关键
关键时侯	关键时刻
关连	关联
关连性	关联性
关门养虎虎大伤人	关门养虎，虎大伤人
关於	关于
观查	观察
观点倾侧	观点倾向
观模	观摩
观模教学	观摩教学
观磨	观摩
观磨教学	观摩教学
观畔而动	观衅而动
观畔伺隙	观衅伺隙
观釁伺隙	观衅伺隙
官偪民反	官逼民反
官冕堂皇	冠冕堂皇
官请法正	官清法正
冠振海	冦振海
鳏寡孤惸	鳏寡孤茕
鳏寡惸独	鳏寡茕独
馆茂	馆藏
管到	管道
管理条理	管理条例
管秃脣焦	管秃唇焦
管帐	管账
贯例	惯例
贯输	灌输
贯输知识	灌输知识
灌迷汤	灌米汤
光采	光彩
光采夺目	光彩夺目
光采照人	光彩照人
光大化日	光天化日
光风霏月	光风霁月
光怪路离	光怪陆离
光化度	光滑度
光化性	光滑性
光前绝後	光前绝后
光前启後	光前启后
光前裕後	光前裕后
光阴在苒	光阴荏苒
广茅	广袤
广茅无垠	广袤无垠
归根结柢	归根结底
归根结帝	归根结底
归国华侨联合	归国华侨联合会
归师勿掩穷寇勿追	归师勿掩，穷寇勿追
归依我佛	皈依我佛
归於	归于
归真反璞	归真返璞
龟毛免角	龟毛兔角
龟寿遐铃	龟寿遐龄
规规矩距	规规矩矩
规规距距	规规矩矩
规画	规划
规戒	规诫
规距	规矩
规距仪	规矩仪
瑰伟	瑰玮
鬼崇	鬼祟
鬼斧伸	鬼斧神工
鬼斧神功	鬼斧神工
鬼鬼崇崇	鬼鬼祟祟
鬼鬼祟崇	鬼鬼祟祟
鬼计	诡计
鬼计百端	诡计百端
鬼计多端	诡计多端
鬼哭狼嗥	鬼哭狼嚎
鬼哭神号	鬼哭神嚎
鬼秘	诡秘
鬼域伎俩	鬼蜮伎俩
鬼蜮技俩	鬼蜮伎俩
鬼魊	鬼蜮
鬼吒狼嚎	鬼咤狼嚎
贵而贱目	贵耳贱目
筀竹	桂竹
滚瓜溜园	滚瓜溜圆
滚滚波滔	滚滚波涛
滚珠承轴制造厂	滚珠轴承制造厂
滚柱轴承	滚珠轴承
聒躁	聒噪
国不转睛	目不转睛
国防科学技术工业委员	国防科学技术工业委员会
国计民	国计民生
国际互连网	国际互联网
国际像棋	国际象棋
国际形式	国际形势
国家中医院管理局	国家中医药管理局
国空一切	目空一切
国库卷	国库券
国民身分证	国民身份证
果焰糕点	果馅糕点
果于自信	过于自信
过都历塊	过都历块
过度时期	过渡时期
过份	过分
过份夸赞	过分夸赞
过份眩耀	过分炫耀
过街老鼠人人喊打	过街老鼠，人人喊打
过景	过境
过甚其词	过甚其辞
过尤不及	过犹不及
过于繁琐	过于烦琐
过於	过于
过傤	过载
过帐	过账
哈叭狗	哈巴狗
哈吧狗	哈巴狗
哈儿滨工大	哈尔滨工大
哈蟆	蛤蟆
哈蟆镜	蛤蟆镜
海拨	海拔
海参威	海参崴
海关总暑	海关总署
海军陆战	海军陆战队
海哩	海里
海洛英	海洛因
海棉	海绵
海棉状	海绵状
海内存知己天涯若比邻	海内存知己，天涯若比邻
海内存知已，天涯若比邻	海内存知己，天涯若比邻
海内澹然	海内淡然
海市唇楼	海市蜃楼
海弯	海湾
海宴河清	海晏河清
海枣	海藻
海澡类	海藻类
海蛰	海蜇
骇怕	害怕
害起时腋	害起肘腋
酣暢淋漓	酣畅淋漓
酣歌恆舞	酣歌恒舞
憨态可鞠	憨态可掬
含冰茹	含冰茹檗
含垢纳汙	含垢纳污
含胡	含糊
含糊其词	含糊其辞
含汙忍垢	含污忍垢
含辛如苦	含辛茹苦
含血潠人	含血噀人
含饴弃孙	含饴弄孙
函梏关	函谷关
涵蓄	含蓄
涵义	含义
寒伧	寒碜
寒颤	寒战
寒颤颤	寒战战
寒禁	寒噤
寒喧	寒暄
寒喧客套	寒暄客套
韩卢逐	韩卢逐逡
韩獹逐塊	韩獹逐块
韩信将兵多多益善	韩信将兵，多多益善
汉高解珮	汉高解佩
汉姆雷特	哈姆雷特
汉牛充栋	汗牛充栋
扞格不入	擀格不入
扞格不通	擀格不通
汗流夹背	汗流浃背
汗禢儿	汗褟儿
旱马	汗马
旱马功劳	汗马功劳
捍将	悍将
焊鑞	焊镴
憾动	撼动
航天飞船	航天飞机
毫不晦言	毫不讳言
毫釐千里	毫厘千里
毫釐丝忽	毫厘丝忽
毫无二志	毫无二致
毫无顾及	毫无顾忌
毫无疑	毫无疑问
毫州市	亳州市
嗥哭	嚎哭
豪不	毫不
豪厘	毫厘
豪厘不伐，将用斧柯	毫厘不伐，将用斧柯
豪厘不爽	毫厘不爽
豪氂不伐，将用斧柯	毫厘不伐，将用斧柯
嚎咷	号啕
嚎咷大哭	号啕大哭
嚎啕大哭	号啕大哭
濠梁之上	壕梁之上
濠濮间想	壕濮间想
好把	好吧
好吃懒作	好吃懒做
好高务远	好高骛远
好高鹜远	好高骛远
好工夫	好功夫
好级了	好极了
好家夥	好家伙
好酒不怕巷水深	好酒不怕巷子深
好来坞	好莱坞
好人难作	好人难做
好人喜功	好大喜功
好事不出门恶事行千里	好事不出门，恶事行千里
好事多慳	好事多悭
好事天慳	好事天悭
好务	好恶
好象	好像
好象是	好像是
好行小慧	好行小惠
好逸务劳	好逸恶劳
号寒啼讥	号寒啼饥
号如烟海	浩如烟海
号咷	号啕
号咷大哭	号啕大哭
号淘大哭	号啕大哭
浩翰	浩瀚
浩淼	浩渺
皓齿蛾眉	皓齿娥眉
皓齿红脣	皓齿红唇
皓齿硃脣	皓齿朱唇
呵叱	呵斥
呵腰	哈腰
欱野歕山	喝野歕山
喝采	喝彩
喝倒采	喝倒彩
喝得泥醉	喝得烂醉
合壁	合璧
合壁连珠	合璧连珠
合格人材	合格人才
合夥人	合伙人
合饹	饸饹
合盘托出	和盘托出
合式地	合适地
合我其谁	舍我其谁
合谐	和谐
合衣而睡	和衣而睡
合衷共济	和衷共济
合舟共济	和衷共济
何患无辞	何患无词
何以解忧，惟有杜康	何以解忧，唯有杜康
何足挂赤	何足挂齿
和霭	和蔼
和霭可亲	和蔼可亲
和浦珠还	合浦珠还
和事老	和事佬
和阗	和田
和协	和谐
和颜说色	和颜悦色
河叉	河汊
河涸海乾	河涸海干
河漏	饸饹
河落海乾	河落海干
核打出	核打击
核对帐目	核对账目
核下	垓下
荷泽市	菏泽市
涸思乾虑	涸思干虑
涸泽而渔焚林而猎	涸泽而渔，焚林而猎
阖家欢	合家欢
贺辞	贺词
贺尔蒙	荷尔蒙
赫磁共振	核磁共振
赫尔新基	赫尔辛基
赫鲁雪夫	赫鲁晓夫
黑不溜偢	黑不溜秋
黑灯下火	黑灯瞎火
黑咕笼咚	黑咕隆咚
黑古龙冬	黑咕隆咚
黑鼓隆咚	黑咕隆咚
黑忽忽	黑乎乎
黑龙谭	黑龙潭
黑钮扣	黑纽扣
黑鸦鸦	黑压压
黑幽幽	黑黝黝
黑帐	黑账
黑脂麻	黑芝麻
很难想象	很难想像
很在灵气	很有灵气
横臣	横卧
横档	横挡
横度	横渡
横度长江	横渡长江
横隔膜	横膈膜
横看成岭侧成峰远近高低各不同	横看成岭侧成峰，远近高低各不同
横征暴歛	横征暴敛
横徵暴赋	横征暴赋
横徵暴敛	横征暴敛
横徵苛役	横征苛役
横座标	横坐标
轰轰烈烈后头	轰轰烈烈
轰堂大笑	哄堂大笑
轰笑	哄笑
哄动	轰动
哄动全国	轰动全国
哄动一时	轰动一时
烘云讬月	烘云托月
弘论	宏论
弘图	宏图
弘愿	宏愿
弘旨	宏旨
红高梁	红高粱
红菓儿	红果儿
红兰铅笔	红蓝铅笔
红通通	红彤彤
红通通的	红彤彤的
红焰焰	红艳艳
红紫夺硃	红紫夺朱
红紫乱末	红紫乱朱
红紫乱硃	红紫乱朱
宏都拉斯	洪都拉斯
宏亮	洪亮
宏篇巨制	鸿篇巨制
宏扬	弘扬
鸿断鱼沈	鸿断鱼沉
鸿福	洪福
鸿福齐天	洪福齐天
鸿函钜椟	鸿函巨椟
鸿渐於干	鸿渐于干
鸿濛	鸿蒙
鸿篇钜制	鸿篇巨制
鸿图	宏图
鸿图大展	宏图大展
鸿图华构	宏图华构
鸿章钜字	鸿章巨字
閧堂大笑	哄堂大笑
侯补	候补
侯补委员	候补委员
侯车	候车
侯车室	候车室
侯方	候方
侯机	候机
侯机楼	候机楼
侯她	候她
侯你	候你
侯鸟	候鸟
侯审	候审
侯他	候他
侯我	候我
侯选	候选
侯选人	候选人
后脖梗	后脖颈
后车站	候车站
后脑杓	后脑勺
后座力	后坐力
後发制人	后发制人
後顾之忧	后顾之忧
後海先河	后海先河
後喝	后喝
後悔地	后悔地
後悔无及	后悔无及
後会有期	后会有期
後继有人	后继有人
後进领袖	后进领袖
後进之秀	后进之秀
後来地	后来地
後来居上	后来居上
後来之秀	后来之秀
後面的	后面的
後起之秀	后起之秀
後生可畏	后生可畏
後生小子	后生小子
後台老板	后台老板
後拥前呼	后拥前呼
候服玉食	侯服玉食
候马市	侯马市
候门	侯门
候门如海	侯门如海
候王将相	侯王将相
候耀华	侯耀华
呼吃	呼哧
呼蚩	呼哧
呼嗤	呼哧
呼风换雨	呼风唤雨
呼喇	呼啦
呼天籥地	呼天龠地
呼玄喝六	呼幺喝六
忽如一夜春风来千树万树梨花开	忽如一夜春风来，千树万树梨花开
唿扇	呼扇
唿哨	呼哨
胡臭	狐臭
胡蝶	蝴蝶
胡肥锺瘦	胡肥钟瘦
胡里胡涂	糊里糊涂
胡芦巴	葫芦巴
胡罗卜	胡萝卜
胡萝匐	胡萝卜
胡弄胡弄	糊弄糊弄
胡涂	糊涂
胡做非为	胡作非为
斛筹交错	觥筹交错
湖吃海喝	胡吃海喝
糊辣汤	胡辣汤
糊涂帐	糊涂账
衚衕	胡同
餬口	糊口
虎居龙盘	虎踞龙盘
虎倨龙盘	虎踞龙盘
虎据龙盘	虎踞龙盘
虎距龙盘	虎踞龙盘
虎踞龙蟠	虎踞龙盘
虎口馀生	虎口余生
虎落平	虎落平川
虎魄	琥珀
虎视眈耽	虎视眈眈
虎视耽耽	虎视眈眈
虎咽狼飡	虎咽狼餐
虎掷龙挐	虎掷龙拿
互邦互助	互帮互助
互古	亘古
互古未有	亘古未有
互连网	互联网
互相推委	互相推诿
户枢不蠢	户枢不蠹
护避	护庇
怙恶不俊	怙恶不悛
花冈石	花岗石
花冈岩	花岗岩
花好月四	花好月圆
花好月园	花好月圆
花狸狐哨	花里胡哨
花里胡梢	花里胡哨
花梢	花哨
花稍	花哨
花消	花销
花帐	花账
花着	花招
华尔滋	华尔兹
华盛顿邮	华盛顿邮报
华众取宠	哗众取宠
哗拉	哗啦
哗喇喇	哗啦啦
滑杆	滑竿
化费	花费
化学反映	化学反应
化妆舞会	化装舞会
化装服	化妆服
化装品	化妆品
化子	花子
划拔	划拨
划地为牢	画地为牢
划地自限	画地自限
划帐	划账
画饼允叽	画饼充饥
画布绷架	画布棚架
画策	划策
画策设谋	划策设谋
画地力牢	画地为牢
画分为	划分为
画蛇填足	画蛇添足
画蛇著足	画蛇着足
画时代	划时代
画象	画像
话碴儿	话茬儿
怀壁其罪	怀璧其罪
怀才不迂	怀才不遇
怀刑自爱	怀刑自受
徊肠伤气	回肠荡气
坏帐	坏账
欢渡	欢度
欢渡春节	欢度春节
欢渡国庆	欢度国庆
欢心鼓舞	欢欣鼓舞
欢忻鼓舞	欢欣鼓舞
欢忻踊跃	欢欣踊跃
欢欣鼓午	欢欣鼓舞
欢迎辞	欢迎词
懽忭鼓舞	欢忭鼓舞
懽忻鼓舞	欢欣鼓舞
还淳反扑	还淳反朴
还年卻老	还年却老
还是由不	还是由于
还帐	还账
环宇	寰宇
唤档	换挡
换档	换挡
换然一新	焕然一新
涣然一新	焕然一新
焕难	患难
焕散	涣散
渙然冰释	涣然冰释
荒缪绝伦	荒谬绝伦
荒信儿	谎信儿
皇皇不可终日	惶惶不可终日
黄柏	黄檗
黄骠毛	黄骠马
黄橙橙的	黄澄澄的
黄发兒齿	黄发儿齿
黄发鮐背	黄发鲐背
黄河摊	黄河滩
黄花冈	黄花岗
黄花岗七十二烈	黄花岗七十二烈士
黄花岗七十二烈士	黄花冈七十二烈士
黄口小兒	黄口小儿
黄烂烂	黄灿灿
黄历	皇历
黄梁美梦	黄粱美梦
黄梁梦	黄粱梦
黄梁一梦	黄粱一梦
黄埔江	黄浦江
黄色录相	黄色录像
黄帐	黄账
黄钟毁弃瓦釜雷鸣	黄钟毁弃，瓦釜雷鸣
黄锺毁弃	黄钟毁弃
黄锺瓦缶	黄钟瓦缶
惶惶不可	惶惶不可终日
遑遑不可	惶惶不可终日
遑遑不可终日	惶惶不可终日
恍忽	恍惚
恍恍忽忽	恍恍惚惚
晃然大悟	恍然大悟
晃如隔世	恍如隔世
谎谬	荒谬
谎谬绝伦	荒谬绝伦
谎张	慌张
幌惚	恍惚
灰濛濛	灰蒙蒙
恢恑憰怪	恢诡谲怪
恢宏	恢弘
恢恢有馀	恢恢有余
恢气	灰气
恢谐	诙谐
恢心	灰心
恢心丧气	灰心丧气
挥金璞玉	浑金璞玉
挥汁如雨	挥汗如雨
晖映	辉映
辉皇	辉煌
回肠结气	回肠荡气
回覆	回复
回光反照	回光返照
回互	回护
回棋	悔棋
回乾就湿	回干就湿
回山倒海	排山倒海
回游	洄游
悔人不倦	诲人不倦
汇聚	会聚
会逢其適	会逢其适
会集	汇集
会计帐	会计账
会谈记要	会谈纪要
会悟	会晤
会议记要	会议纪要
会帐	会账
讳谟如深	讳莫如深
讳寞如深	讳莫如深
绘事後素	绘事后素
烩炙人口	脍炙人口
彗氾画涂	彗泛画涂
篲氾画涂	彗泛画涂
昏迷不省	昏迷不醒
荤粥	獯鬻
浑沌	混沌
浑浑沌沌	混混沌沌
浑浑沈沈	浑浑沉沉
浑抡吞枣	囫囵吞枣
浑沦吞枣	囫囵吞枣
浑洒自如	挥洒自如
魂不负体	魂不附体
魂不赴体	魂不附体
魂不著体	魂不着体
魂飞魄飏	魂飞魄扬
魂慴色沮	魂慑色沮
诨诨噩噩	浑浑噩噩
诨然一体	浑然一体
混吉	混迹
混球儿	浑球儿
混然天成	浑然天成
混然一体	浑然一体
混身	浑身
混身解数	浑身解数
混身是胆	浑身是胆
混水摸鱼	浑水摸鱼
混淆世听	混淆视听
混帐	混账
混帐东西	混账东西
混帐话	混账话
混浊	浑浊
溷浊	浑浊
豁达人度	豁达大度
豁拳	划拳
豁然省悟	豁然醒悟
活动份子	活动分子
活象	活像
活性碳	活性炭
火伴	伙伴
火暴	火爆
火夫	伙夫
火侯	火候
火化塞	火花塞
火煤	火媒
火山融岩	火山熔岩
火炎山	火焰山
火中取粟	火中取栗
夥伴	伙伴
夥计	伙计
获益匪浅	获益非浅
祸发肖墙	祸发萧墙
祸国秧民	祸国殃民
祸起肖墙	祸起萧墙
祸兮福所倚福兮祸所伏	祸兮福所倚，福兮祸所伏
霍邱县	霍丘县
击鞭鎚镫	击鞭锤镫
叽哩咕噜	叽里咕噜
饥飡渴饮	饥餐渴饮
饥肠碌碌	饥肠辘辘
饥附饱飏	饥附饱扬
饥笑	讥笑
饥者易为食渴者易为饮	饥者易为食，渴者易为饮
机不可失，时不可来	机不可失，时不再来
机不可失失不再来	机不可失，失不再来
机伶	机灵
机率	几率
肌肠碌碌	饥肠辘辘
芨芨可危	岌岌可危
鸡蟲得丧	鸡虫得丧
鸡蟲得失	鸡虫得失
鸡旦里挑骨头	鸡蛋里挑骨头
鸡旦里找骨头	鸡蛋里挑骨头
鸡飞旦打	鸡飞蛋打
鸡毛撢子	鸡毛掸子
鸡犬昇天	鸡犬升天
鸡犬之声相闻老死不相往来	鸡犬之声相闻，老死不相往来
唧咕	叽咕
唧唧嘎嘎	叽叽嘎嘎
唧唧咕咕	叽叽咕咕
唧唧喳喳	叽叽喳喳
积财千万不如薄技在身	积财千万，不如薄技在身
积德裕後	积德裕后
积非習贯	积非习贯
积穀防饥	积谷防饥
积毁消骨	积毁销骨
积极份子	积极分子
积日絫久	积日累久
积善馀庆	积善余庆
积思广义	集思广益
积土为山积水为海	积土为山，积水为海
积習生常	积习生常
积畜	积蓄
积液成裘	积腋成裘
积腋成裘	集腋成裘
积重难反	积重难返
基层检察关	基层检察机关
基金帐户	基金账户
绩突出	成绩突出
犄角之势	掎角之势
缉征股	稽征股
畸开发展	畸形发展
畸零	奇零
畸型	畸形
稽察员	稽查员
激忿	激愤
激忿填膺	激愤填膺
激进份子	激进分子
激流勇退	急流勇退
激烛扬清	激浊扬清
激浊杨清	激浊扬清
齎恨	赍恨
齎赏	赍赏
及时报导	及时报道
吉米卡特	吉米·卡特
汲汲皇皇	汲汲遑遑
即然	既然
即然如此	既然如此
即生瑜，何生亮	既生瑜，何生亮
即往	既往
即往不究	既往不咎
即以其人之道还治其人之身	即以其人之道，还治其人之身
即早	及早
极力沮遏	极力阻遏
极深研幾	极深研几
极重不反	积重不返
极重难返	积重难返
急公近利	急功近利
急功尽利	急功近利
急火功心	急火攻心
急进份子	激进分子
急来报佛脚	急来抱佛脚
急敛暴徵	急敛暴征
急流漩涡	急流旋涡
急人这急	急人之急
急於求成	急于求成
急於星火	急于星火
急燥	急躁
疾恶如雠	疾恶如仇
疾恶若雠	嫉恶若仇
疾风暴雨	急风暴雨
疾首嚬蹙	疾首颦蹙
疾贤妒能	嫉贤妒能
集少成多	积少成多
集思广义	集思广益
集思广议	集思广益
集液成裘	集腋成裘
嫉贪如雠	嫉贪如仇
蒺蔾	蒺藜
辑逸	辑佚
籍口	借口
几年纪	几年级
己能	已能
己所不欲勿施于人	己所不欲，勿施于人
挤挤一堂	济济一堂
挤身	跻身
挤身于	跻身于
脊地	瘠地
掎裳连袂	掎裳联袂
掎裳联袂	掎裳连袂
计不返顾	计不反顾
计成	计程
计划慎密	计划缜密
计画	计划
计日成功	计日程功
计算机体层成象	计算机体层成像
计无返顾	计无反顾
记不请	记不清
记程车	计程车
记分牌	计分牌
记记帐	记记账
记录片	纪录片
记录片儿	纪录片儿
记念	纪念
记事薄	记事簿
记数器	计数器
记要	纪要
记忆忧新	记忆犹新
记忆尤新	记忆犹新
记帐	记账
记帐联	记账联
记帐员	记账员
纪纲人论	纪纲人伦
纪纲松驰	纪纲松弛
纪录下来	记录下来
纪律焕散	纪律涣散
纪律松驰	纪律松弛
纪之交	世纪之交
技俩	伎俩
技能亢进	机能亢进
技人员	技术人员
季风气侯	季风气候
既如	即如
既使	即使
既使如此	即使如此
既往不纠	既往不咎
既往不究	既往不咎
既有今日何必当初	既有今日，何必当初
觊揄	觊觎
觊揄非分	觊觎非分
寄花献佛	借花献佛
寄与	寄予
加尔格达	加尔各达
加格达齐	加格达奇
加官进爵	加官晋爵
加利略	伽利略
加太基	迦太基
加油战	加油站
夹心饼乾	夹心饼干
夹肢窝	胳肢窝
佳宾	嘉宾
佳宾满座	嘉宾满座
佳佳妇	佳儿佳妇
迦西亚	加西亚
家长礼短	家长里短
家常里短	家长里短
家祭无忘告乃翁	家祭毋忘告乃翁
家俱	家具
家有弊帚享之千金	家有弊帚，享之千金
家喻户習	家喻户习
家寓户晓	家喻户晓
傢伙	家伙
傢具	家具
傢什	家什
傢俬	家俬
葭县	佳县
嘉偶	佳偶
嘉偶天成	佳偶天成
戛釜撞甕	戛釜撞瓮
驾式	架势
驾御	驾驭
架海金樑	架海金梁
架式	架势
假力於人	假力于人
假人假义	假仁假义
假相	假象
假帐	假账
嫁鸡随鸡嫁狗随狗	嫁鸡随鸡，嫁狗随狗
嫁妆企业	家装企业
嫁装	嫁妆
奸滑	奸猾
奸离	间离
奸同鬼蜮行若狐鼠	奸同鬼蜮，行若狐鼠
尖咀薄舌	尖嘴薄舌
尖咀猴腮	尖嘴猴腮
尖沙咀	尖沙嘴
坚持不榭	坚持不懈
坚定不疑	坚定不移
坚苦奋斗	艰苦奋斗
坚苦卓越	艰苦卓绝
坚困	艰困
坚难	艰难
坚难地	艰难地
坚难困苦	艰难困苦
坚韧不拔	坚忍不拔
坚如盘石	坚如磐石
坚守自盗	监守自盗
坚信不移	坚信不疑
坚贞不逾	坚贞不渝
歼殊途同归	殊途同归
间文	闲文
肩磨踵接	肩摩踵接
艰钜	艰巨
艰苦磨练	艰苦磨炼
艰苦扑素	艰苦朴素
兼包并畜	兼包并蓄
兼收并畜	兼收并蓄
兼听则明偏听则暗	兼听则明，偏听则暗
兼听则明偏信则暗	兼听则明，偏信则暗
兼硃重紫	兼朱重紫
监察官	检察官
监澧县	监利县
菅窥蠡测	管窥蠡测
菅弦乐队	管弦乐队
煎餅	煎饼
捡了芝麻丢了西瓜	捡了芝麻，丢了西瓜
减省	俭省
减省得	俭省得
剪指夹	剪指甲
检玻器	检波器
检查长	检察长
检查官	检察官
检查署	检察署
检肃	检索
趼子	茧子
硷金属	碱金属
硷熔	碱熔
硷石灰	碱石灰
硷土金属	碱土金属
硷性	碱性
简爱	简·爱
简接	间接
简介性	简洁性
简炼	简练
翦草除根	剪草除根
见不容发	间不容发
见风驶舵	见风使舵
见几而作	见机而作
见利思议	见利思义
见貌辨色	鉴貌辨色
见仁见志	见仁见智
见微受命	见危授命
见微知箸	见微知著
见微知着	见微知著
见小闇大	见小暗大
见义思迁	见异思迁
见之不取思之千里	见之不取，思之千里
建帐	建账
建帐备查	建账备查
剑拔驽张	剑拔弩张
剑拔努张	剑拔弩张
閒不容发	间不容发
閒不容缓	间不容缓
閒不容砺	间不容砺
閒不容缕	间不容缕
閒不容瞚	间不容瞚
閒不容息	间不容息
閒曹冷局	闲曹冷局
閒非閒是	闲非闲是
閒花埜草	闲花野草
閒花野草	闲花野草
閒见层出	间见层出
閒鸥野鹭	闲鸥野鹭
閒情别致	闲情别致
閒情逸趣	闲情逸趣
閒情逸志	闲情逸志
閒情逸致	闲情逸致
閒神野鬼	闲神野鬼
閒是閒非	闲是闲非
閒言长语	闲言长语
閒言淡语	闲言淡语
閒言閒语	闲言闲语
閒言冷语	闲言冷语
閒言泼语	闲言泼语
閒言碎语	闲言碎语
閒言赘语	闲言赘语
閒云孤鹤	闲云孤鹤
閒云野鹤	闲云野鹤
鉴前毖後	鉴前毖后
鉴於	鉴于
键步如飞	健步如飞
箭拔努张	剑拔弩张
江山好改秉性难移	江山好改，秉性难移
江山易改，秉性难移	江山易改，禀性难移
江山易改本性难移	江山易改，本性难移
江山易改秉性难移	江山易改，秉性难移
江山易改禀性难移	江山易改，禀性难移
江水融融	江水溶溶
姜太公钓鱼愿者上钩	姜太公钓鱼，愿者上钩
将机就机	将计就计
将家皇朝	蒋家皇朝
将军抽車	将军抽车
将军抽俥	将军抽车
将水搅混	将水搅浑
将心相从	降心相从
将欲取之必先与之	将欲取之，必先与之
将在外君命有所不受	将在外，君命有所不受
僵旗息鼓	偃旗息鼓
彊村丛书	疆村丛书
彊村老人评词	疆村老人评词
讲议	讲义
降妞	犟妞
降紫	绛紫
交代罪行	交待罪行
交溶	交融
交帐	交账
姣姣者	佼佼者
姣媚	娇媚
娇健无比	矫健无比
娇娇二气	娇骄二气
娇娇之气	娇骄之气
娇柔造作	矫揉造作
娇揉造作	矫揉造作
娇揉造作的	矫揉造作的
娇奢淫逸	骄奢淫逸
娇正发音	矫正发音
骄儿騃女	骄儿呆女
骄兒騃女	骄儿呆女
骄奢淫佚	骄奢淫逸
骄生惯养	娇生惯养
骄燥	骄躁
胶卷合	胶卷盒
胶著地	胶着地
焦脣敝舌	焦唇敝舌
焦脣乾肺	焦唇干肺
焦脣乾舌	焦唇干舌
焦心热中	焦心热衷
焦燥	焦躁
蕉萃	憔悴
燋金流石	焦金流石
燋金烁石	焦金烁石
燋头烂额	焦头烂额
角不点地	脚不点地
挢抂过正	矫枉过正
挢揉造作	矫揉造作
狡滑	狡猾
狡滑的人	狡猾的人
狡免三窟	狡兔三窟
狡兔死良狗烹	狡兔死，良狗烹
皎皎者	佼佼者
皎阳似火	骄阳似火
矫憨	娇憨
矫抂过正	矫枉过正
矫柔造作	矫揉造作
矫柔造作的	矫揉造作的
矫柔造作者	矫揉造作者
矫揉造做	矫揉造作
矫往过正	矫枉过正
脚登子	脚蹬子
脚根	脚跟
脚门	角门
脚色	角色
脚鸭子	脚丫子
脚指	脚趾
脚指甲	脚趾甲
脚指头	脚趾头
剿袭	抄袭
儌倖	侥幸
徼倖	侥幸
缴白卷	交白卷
缴出来	交出来
缴出去	交出去
缴过来	交过来
缴过去	交过去
叫化	教化
叫化子	叫花子
叫真	较真
叫真儿	较真儿
较长絜短	较长洁短
较场	校场
较短絜长	较短洁长
教妇初来教儿婴孩	教妇初来，教儿婴孩
教料书	教科书
醮水	蘸水
皆人欢喜	皆大欢喜
接长补短	截长补短
接特性地	接待性地
接踪	接踵
接踪而来	接踵而来
秸杆	秸秆
揭杆	揭竿
揭杆而起	揭竿而起
揭开迷底	揭开谜底
劫後馀生	劫后余生
杰出人材	杰出人才
诘屈磝碻	佶屈磝确
诘屈聱牙	佶屈聱牙
拮倨	拮据
洁白无暇	洁白无瑕
结采	结彩
结过婚每	结过婚没
结婚证儿	结婚证
结跏	结痂
结款了帐	结款了账
结绳纪事	结绳记事
结馀	结余
结帐	结账
结帐后离开	结账后离开
倢伃	婕妤
桀傲不驯	桀骜不驯
桀骜不训	桀骜不驯
捷克和斯洛伐克	捷克斯洛伐克
捷克斯洛	捷克斯洛伐克
截发剉稾	截发锉稾
截尽	竭尽
截尽全力	竭尽全力
截力	竭力
截趾適履	截趾适履
竭见	谒见
竭泽而鱼	竭泽而渔
解开钮扣	解开纽扣
解严令	戒严令
解衣槃磅	解衣盘磅
戒告	告诫
戒娇戒燥	戒骄戒躁
戒骄戒燥	戒骄戒躁
诫律	戒律
诫条	戒条
借帐	借账
藉口	借口
藉助	借助
今蝉蜕壳	金蝉脱壳
今非夕比	今非昔比
今世近视尽是近视	今世近视，尽是近视
今事昨非	今是昨非
金榜提名	金榜题名
金壁辉皇	金壁辉煌
金壁辉煌	金碧辉煌
金璧辉煌	金碧辉煌
金利莱	金利来
金銮店	金銮殿
金门诱户	金门绣户
金殴	金瓯
金殴无缺	金瓯无缺
金无赤足，人无完人	金无足赤，人无完人
金无足赤人无完人	金无足赤，人无完人
金无足金，人无完人	金无足赤，人无完人
金象	金像
金玉其外败絮其中	金玉其外，败絮其中
津津计较	斤斤计较
矜恃	矜持
筋皮力竭	筋疲力尽
筋疲力竭	筋疲力尽
襟怀担白	襟怀坦白
锦秀	锦绣
锦秀前程	锦绣前程
锦衣纨裤	锦衣纨绔
